(123, 'Metroid', 1, '08/06/1986', 'Nintendo', 'Nintendo', '|Action|Adventure|', 'E - Everyone', '7', NULL),
(124, 'Worms', 4, '1995', 'Team17', 'Ocean Software', '|Action|Strategy|', 'E - Everyone', '1', NULL),
(125, 'Mega Man 5', NULL, '12/04/1992', 'Capcom', 'Capcom', '|Action|', 'E - Everyone', '7', NULL),
(126, 'Another World', 1, NULL, NULL, NULL, NULL, NULL, '6', NULL),
(128, 'Michael Jackson''s Moonwalker', 0, '08/24/1990', 'Ultimate Pro', 'Sega', '|Adventure|', NULL, '18', NULL),
(129, 'Sonic CD', NULL, '09/23/1993', 'Sega', 'Sega', '|Adventure|', 'E - Everyone', '21', NULL),
(130, 'Kid Icarus', 0, '12/18/1986', 'Nintendo', 'Nintendo', '|Adventure|', 'E - Everyone', '7', NULL),
(131, 'Donkey Kong Country', 0, '11/21/1994', 'Rare Ltd.', 'Nintendo', '|Action|Adventure|', 'E - Everyone', '6', NULL),
(132, 'Ecco the Dolphin', 0, '07/29/1992', 'Novotrade International', 'Sega', '|Adventure|', 'E - Everyone', '21', NULL),
(135, 'Castlevania', 1, '09/26/1986', 'Konami', 'Konami', '|Action|Adventure|', 'E - Everyone', '7', NULL),
(136, 'Super Mario World', 2, '11/21/1990', 'Nintendo', 'Nintendo', '|Adventure|', 'E - Everyone', '6', NULL),
(137, 'Super Mario World 2: Yoshi''s Island', 0, '10/04/1995', 'Nintendo', 'Nintendo', '|Action|Adventure|', NULL, '6', NULL),
(138, 'Gunstar Heroes', 2, '09/09/1993', 'Treasure', 'SEGA', NULL, 'E - Everyone', '18', NULL),
(139, 'World of Illusion Starring Mickey Mouse and Donald Duck', NULL, '12/18/1992', 'Sega', 'Sega', '|Adventure|', 'E - Everyone', '18', NULL),
(140, 'Super Mario Bros.', 2, '09/13/1985', 'Nintendo', 'Nintendo', '|Adventure|', 'E - Everyone', '7', NULL),
(141, 'Paper Mario', 1, '02/5/2001', 'Intelligent Sys.', 'Nintendo', '|Action|Adventure|Role-Playing|', 'E - Everyone', '3', NULL),
(142, 'Sonic the Hedgehog 2', 2, '11/21/1992', 'Sega', 'Sega', '|Adventure|', 'E - Everyone', '18', NULL),
(143, 'Mega Man X', NULL, '12/17/1992', 'Capcom', 'Capcom', '|Action|', 'E - Everyone', '6', NULL),
(144, 'The Secret of Monkey Island', NULL, '1990', 'Lucasfilm Games', 'Lucasfilm Games', '|Adventure|Puzzle|', 'E - Everyone', '1', NULL),
(183, 'Shining Force', NULL, NULL, NULL, NULL, '|Role-Playing|', NULL, '18', NULL),
(146, 'Half-Life 2', 1, '11/16/2004', 'Valve Corporation', 'Valve Corporation', '|Shooter|', 'M - Mature', '1', NULL),
(149, 'World of Warcraft', NULL, '11/23/2004', 'Blizzard Entertainment', 'Blizzard Entertainment', '|Role-Playing|', 'T - Teen', '1', NULL),
(151, 'StarCraft II: Wings of Liberty', 4, '07/27/2010', 'Blizzard Entertainment', 'Blizzard Entertainment', '|Strategy|', 'T - Teen', '1', NULL),
(152, 'Call of Duty: Modern Warfare 2', 4, '11/10/2009', 'Infinity Ward', 'Activision', '|Shooter|', 'M - Mature', '1', NULL),
(153, 'StarCraft', NULL, '03/31/1998', 'Blizzard Entertainment', 'Blizzard Entertainment', '|Strategy|', 'T - Teen', '1', NULL),
(154, 'Borderlands', 0, '10/26/2009', 'Gearbox Software', '2K Games', '|Shooter|', 'M - Mature', '1', NULL),
(156, 'Tom Clancy''s H.A.W.X', 0, '03/03/2009', 'Ubisoft', 'Ubisoft', '|Action|Vehicle Simulation|Shooter|', 'T - Teen', '1', NULL),
(157, 'Disney''s Aladdin', 1, '11/26/1993', 'Disney Interactive Studios', 'Virgin Interactive', '|Action|', 'E - Everyone', '18', NULL),
(158, 'Portal', 0, '10/09/2007', 'Valve Corporation', 'Valve Corporation', '|Puzzle|', 'T - Teen', '1', NULL),
(159, 'Battlefield: Bad Company 2', 0, '03/02/2010', 'Digital Illusions CE', 'Electronic Arts', '|Action|', 'M - Mature', '1', NULL),
(160, 'GoldenEye 007', 4, '08/23/1997', 'Rareware', 'Nintendo', '|Shooter|', 'T - Teen', '3', NULL),
(161, 'The Legend of Zelda: Ocarina of Time', 1, '11/21/1998', 'Nintendo EAD', 'Nintendo', '|Adventure|', 'E - Everyone', '3', NULL),
(162, 'Banjo-Kazooie', 1, '06/30/1998', 'Rareware', 'Nintendo', '|Adventure|', 'E - Everyone', '3', NULL),
(163, 'Paradise', NULL, 'April 21 2006', 'White Birds Productions', 'Micro Application / Ubisoft', '|Adventure|', 'T - Teen', '1', NULL),
(164, 'Metro 2033', 1, '03/16/2010', '4A Games', 'THQ', '|Strategy|', 'M - Mature', '1', NULL),
(165, 'Dynasty Warriors 6', 0, NULL, NULL, NULL, NULL, NULL, '15', NULL),
(174, 'The Legend of Zelda: The Wind Waker', 1, '03/24/2003', 'Nintendo EAD', 'Nintendo', '|Action|Adventure|', 'E - Everyone', '2', NULL),
(166, 'Mario Kart: Double Dash‼', 4, '11/17/2003', 'Nintendo', 'Nintendo', '|Racing|', 'E - Everyone', '2', NULL),
(167, 'Mario Party 4', 0, '10/21/2002', 'Hudson', 'Nintendo', '|Strategy|', 'E - Everyone', '2', NULL),
(169, 'Mario Kart Wii', NULL, '04/27/2008', 'Nintendo', 'Nintendo', '|Action|Vehicle Simulation|', 'E - Everyone', '9', NULL),
(170, 'New Super Mario Bros. Wii', 4, NULL, 'Nintendo', 'Nintendo', '|Adventure|Sandbox|', 'E - Everyone', '9', NULL),
